,0
Id,0.0
MSSubClass,0.0
MSZoning,0.0
LotFrontage,0.1773972602739726
LotArea,0.0
Street,0.0
Alley,0.9376712328767123
LotShape,0.0
LandContour,0.0
Utilities,0.0
LotConfig,0.0
LandSlope,0.0
Neighborhood,0.0
Condition1,0.0
Condition2,0.0
BldgType,0.0
HouseStyle,0.0
OverallQual,0.0
OverallCond,0.0
YearBuilt,0.0
YearRemodAdd,0.0
RoofStyle,0.0
RoofMatl,0.0
Exterior1st,0.0
Exterior2nd,0.0
MasVnrType,0.005479452054794521
MasVnrArea,0.005479452054794521
ExterQual,0.0
ExterCond,0.0
Foundation,0.0
BsmtQual,0.025342465753424658
BsmtCond,0.025342465753424658
BsmtExposure,0.026027397260273973
BsmtFinType1,0.025342465753424658
BsmtFinSF1,0.0
BsmtFinType2,0.026027397260273973
BsmtFinSF2,0.0
BsmtUnfSF,0.0
TotalBsmtSF,0.0
Heating,0.0
HeatingQC,0.0
CentralAir,0.0
Electrical,0.0006849315068493151
1stFlrSF,0.0
2ndFlrSF,0.0
LowQualFinSF,0.0
GrLivArea,0.0
BsmtFullBath,0.0
BsmtHalfBath,0.0
FullBath,0.0
HalfBath,0.0
BedroomAbvGr,0.0
KitchenAbvGr,0.0
KitchenQual,0.0
TotRmsAbvGrd,0.0
Functional,0.0
Fireplaces,0.0
FireplaceQu,0.4726027397260274
GarageType,0.05547945205479452
GarageYrBlt,0.05547945205479452
GarageFinish,0.05547945205479452
GarageCars,0.0
GarageArea,0.0
GarageQual,0.05547945205479452
GarageCond,0.05547945205479452
PavedDrive,0.0
WoodDeckSF,0.0
OpenPorchSF,0.0
EnclosedPorch,0.0
3SsnPorch,0.0
ScreenPorch,0.0
PoolArea,0.0
PoolQC,0.9952054794520548
Fence,0.8075342465753425
MiscFeature,0.963013698630137
MiscVal,0.0
MoSold,0.0
YrSold,0.0
SaleType,0.0
SaleCondition,0.0
SalePrice,0.0
