,0
Id,0.0
MSSubClass,0.0
MSZoning,0.0027416038382453737
LotFrontage,0.15558601782042494
LotArea,0.0
Street,0.0
Alley,0.9266620973269363
LotShape,0.0
LandContour,0.0
Utilities,0.0013708019191226869
LotConfig,0.0
LandSlope,0.0
Neighborhood,0.0
Condition1,0.0
Condition2,0.0
BldgType,0.0
HouseStyle,0.0
OverallQual,0.0
OverallCond,0.0
YearBuilt,0.0
YearRemodAdd,0.0
RoofStyle,0.0
RoofMatl,0.0
Exterior1st,0.0006854009595613434
Exterior2nd,0.0006854009595613434
MasVnrType,0.010966415352981495
MasVnrArea,0.01028101439342015
ExterQual,0.0
ExterCond,0.0
Foundation,0.0
BsmtQual,0.03015764222069911
BsmtCond,0.030843043180260453
BsmtExposure,0.03015764222069911
BsmtFinType1,0.02878684030157642
BsmtFinSF1,0.0006854009595613434
BsmtFinType2,0.02878684030157642
BsmtFinSF2,0.0006854009595613434
BsmtUnfSF,0.0006854009595613434
TotalBsmtSF,0.0006854009595613434
Heating,0.0
HeatingQC,0.0
CentralAir,0.0
Electrical,0.0
1stFlrSF,0.0
2ndFlrSF,0.0
LowQualFinSF,0.0
GrLivArea,0.0
BsmtFullBath,0.0013708019191226869
BsmtHalfBath,0.0013708019191226869
FullBath,0.0
HalfBath,0.0
BedroomAbvGr,0.0
KitchenAbvGr,0.0
KitchenQual,0.0006854009595613434
TotRmsAbvGrd,0.0
Functional,0.0013708019191226869
Fireplaces,0.0
FireplaceQu,0.5003427004797807
GarageType,0.0520904729266621
GarageYrBlt,0.053461274845784786
GarageFinish,0.053461274845784786
GarageCars,0.0006854009595613434
GarageArea,0.0006854009595613434
GarageQual,0.053461274845784786
GarageCond,0.053461274845784786
PavedDrive,0.0
WoodDeckSF,0.0
OpenPorchSF,0.0
EnclosedPorch,0.0
3SsnPorch,0.0
ScreenPorch,0.0
PoolArea,0.0
PoolQC,0.997943797121316
Fence,0.8012337217272104
MiscFeature,0.9650445510623715
MiscVal,0.0
MoSold,0.0
YrSold,0.0
SaleType,0.0006854009595613434
SaleCondition,0.0
