,0
Id,int64
MSSubClass,int64
LotFrontage,float64
LotArea,int64
OverallQual,int64
OverallCond,int64
YearBuilt,int64
YearRemodAdd,int64
MasVnrArea,float64
BsmtFinSF1,int64
BsmtFinSF2,int64
BsmtUnfSF,int64
TotalBsmtSF,int64
1stFlrSF,int64
2ndFlrSF,int64
LowQualFinSF,int64
GrLivArea,int64
BsmtFullBath,int64
BsmtHalfBath,int64
FullBath,int64
HalfBath,int64
BedroomAbvGr,int64
KitchenAbvGr,int64
TotRmsAbvGrd,int64
Fireplaces,int64
GarageYrBlt,float64
GarageCars,int64
GarageArea,int64
WoodDeckSF,int64
OpenPorchSF,int64
EnclosedPorch,int64
3SsnPorch,int64
ScreenPorch,int64
PoolArea,int64
MiscVal,int64
MoSold,int64
YrSold,int64
SalePrice,int64
MSZoning_FV,uint8
MSZoning_RH,uint8
MSZoning_RL,uint8
MSZoning_RM,uint8
Street_Pave,uint8
Alley_Pave,uint8
LotShape_IR2,uint8
LotShape_IR3,uint8
LotShape_Reg,uint8
LandContour_HLS,uint8
LandContour_Low,uint8
LandContour_Lvl,uint8
Utilities_NoSeWa,uint8
LotConfig_CulDSac,uint8
LotConfig_FR2,uint8
LotConfig_FR3,uint8
LotConfig_Inside,uint8
LandSlope_Mod,uint8
LandSlope_Sev,uint8
Neighborhood_Blueste,uint8
Neighborhood_BrDale,uint8
Neighborhood_BrkSide,uint8
Neighborhood_ClearCr,uint8
Neighborhood_CollgCr,uint8
Neighborhood_Crawfor,uint8
Neighborhood_Edwards,uint8
Neighborhood_Gilbert,uint8
Neighborhood_IDOTRR,uint8
Neighborhood_MeadowV,uint8
Neighborhood_Mitchel,uint8
Neighborhood_NAmes,uint8
Neighborhood_NPkVill,uint8
Neighborhood_NWAmes,uint8
Neighborhood_NoRidge,uint8
Neighborhood_NridgHt,uint8
Neighborhood_OldTown,uint8
Neighborhood_SWISU,uint8
Neighborhood_Sawyer,uint8
Neighborhood_SawyerW,uint8
Neighborhood_Somerst,uint8
Neighborhood_StoneBr,uint8
Neighborhood_Timber,uint8
Neighborhood_Veenker,uint8
Condition1_Feedr,uint8
Condition1_Norm,uint8
Condition1_PosA,uint8
Condition1_PosN,uint8
Condition1_RRAe,uint8
Condition1_RRAn,uint8
Condition1_RRNe,uint8
Condition1_RRNn,uint8
Condition2_Feedr,uint8
Condition2_Norm,uint8
Condition2_PosA,uint8
Condition2_PosN,uint8
Condition2_RRAe,uint8
Condition2_RRAn,uint8
